               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069307,            0.020177,                   0,             0.65658,             0.77744,             0.76932,             0.31869,            0.045473,            0.010386,                   0,            0.070067,           0.0033259,           0.0033259
                   1,            0.048633,            0.010995,                   0,             0.95415,             0.95462,             0.97378,             0.50243,            0.032963,           0.0089411,                   0,            0.040034,           0.0066262,           0.0066262
                   2,            0.045365,           0.0090046,                   0,             0.96442,             0.96797,             0.96945,             0.52124,            0.035937,           0.0074084,                   0,           0.0099683,           0.0098936,           0.0098936
                   3,            0.039851,           0.0075475,                   0,             0.96971,             0.98298,             0.98551,             0.58768,            0.028087,           0.0065566,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.036173,            0.006865,                   0,             0.96989,             0.98498,              0.9865,             0.62474,            0.025662,            0.006195,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,             0.03292,           0.0065656,                   0,             0.97472,             0.97781,             0.98871,             0.60481,            0.025604,           0.0060963,                   0,            0.009802,            0.009802,            0.009802
                   6,             0.03122,           0.0061719,                   0,             0.97498,             0.98804,             0.98831,             0.64132,            0.022953,           0.0056768,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.030215,           0.0060953,                   0,              0.9824,             0.98699,             0.98987,              0.6405,            0.023254,           0.0056354,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.028913,           0.0060852,                   0,             0.97786,             0.98749,             0.98707,             0.67529,            0.022029,           0.0054062,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.028696,           0.0059322,                   0,             0.97574,             0.98398,             0.98968,             0.67231,            0.022567,             0.00571,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.027485,           0.0057799,                   0,              0.9728,              0.9903,             0.98413,             0.67065,            0.022208,           0.0054753,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.027463,           0.0058224,                   0,             0.97873,             0.98899,             0.98882,             0.68485,            0.021725,           0.0052804,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.027034,           0.0057062,                   0,             0.97923,             0.98966,             0.98859,             0.66141,            0.021903,           0.0052882,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.026253,           0.0056129,                   0,             0.98407,             0.98919,             0.98998,             0.67834,             0.02082,           0.0051472,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.025997,           0.0055378,                   0,             0.97632,             0.99038,             0.98782,             0.67366,            0.021928,           0.0052785,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.025759,           0.0056282,                   0,             0.98437,             0.98832,             0.98745,             0.67592,            0.021014,           0.0051028,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.025876,           0.0057413,                   0,             0.98534,             0.98654,             0.98898,             0.66647,             0.02171,            0.005262,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.025364,           0.0055644,                   0,             0.97981,             0.99299,             0.98888,             0.71151,            0.020202,           0.0051212,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.025234,           0.0053743,                   0,              0.9877,             0.99111,             0.99018,             0.70982,            0.020003,           0.0050752,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.024715,           0.0054831,                   0,             0.98478,             0.99301,             0.99075,             0.70219,            0.020148,           0.0050337,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.024526,           0.0054814,                   0,             0.98217,             0.99265,              0.9893,             0.71358,            0.019676,           0.0050683,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.024773,           0.0053866,                   0,             0.98284,             0.99233,             0.99018,             0.71542,            0.019319,           0.0050243,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.024479,           0.0054083,                   0,             0.98634,             0.99299,             0.99033,             0.70646,            0.019178,           0.0050004,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.024337,           0.0053191,                   0,             0.98375,             0.98976,             0.99079,             0.71229,            0.019563,           0.0050697,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.023748,           0.0054505,                   0,              0.9874,             0.99383,             0.99181,             0.72683,            0.018929,           0.0049189,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.023641,           0.0054002,                   0,             0.98319,             0.99503,              0.9912,             0.71868,            0.019444,           0.0049058,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.023706,           0.0053153,                   0,             0.98515,             0.99606,              0.9895,             0.72953,             0.01859,           0.0048787,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.023585,            0.005343,                   0,             0.98484,             0.99132,             0.99197,             0.70937,            0.019518,           0.0050481,                   0,            0.008713,            0.008713,            0.008713
